"cod_ass";"nome";"ativo";"mostra_sigcam";"mostra_agendamento";"prazo_previsto";"ativo_online";"codigo_rg";"descricao_online";"tipo_requerente";"proc_automatico";"departamento"
"26";"Cópia de ART";"S";;"N";NULL;;"0";;;"N";"11"
"27";"Declaração de ART";"S";;"N";NULL;;"0";;;"N";"11"
"28";"Baixa de Obra/Serviços";"S";"S";"N";"03 (três) dias úteis; e Imediato, quando por meio do site";;"0";;;"N";"11"
"29";"Complementação de Taxa de ART";"S";;"N";NULL;;"0";;;"N";"11"
"30";"Devolução de Taxa";"S";"S";"N";"Prazo: Variável";"S";"24";"Devolução de Taxas";"P,E,L,";"N";"11"
"31";"Pessoa Jurídica Sem Visto/Registro";"S";;"N";NULL;;"0";;;"N";"5098"
"32";"Pessoa Jurídica com Visto Vencido";"S";;"N";NULL;;"0";;;"N";"5098"
"33";"Falta de ART de Cargo/Função";"S";;"N";NULL;;"0";;;"N";"11"
"34";"Alteração Contratual";"S";"S";"N";"05 (cinco) dias úteis, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar análise pelo Colegiado.";"S";"818";"Alteração Contratual";"E,";"N";"5098"
"35";"Visto em Registro de Pessoa Jurídica";"S";"N";"N";"Execução de obras ou serviços: 03 (três) dias úteis, após o deferimento do processo, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar de análise pelo Colegiado.Licitação: 03 (três) dias úteis, após o deferimento do processo, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar de análise pelo Colegiado.";"S";"823";"Visto em Registro de Pessoa Jurídica";"E,";"N";"5098"
"36";"Registro de Consórcio para Licitação";"N";"N";"N";"05 (cinco) dias úteis, após o deferimento, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar análise pelo Colegiado.";"N";"825";"Registro de Consórcio para Licitação (DESATIVADO A PEDIDO DO ATENDIMENTO)";"E,";"N";"5098"
"37";"Baixa de RT Por Pessoa Juridica";"S";"S";"N";"03 (três) dias úteis.";"S";"16";"Baixa de Responsabilidade Técnica do quadro técnico de pessoa Jurídica";"P,";"N";"5098"
"38";"Cancelamento de Registro de Pessoa Jurídica";"S";"S";"N";"03 (três) dias úteis";"S";"828";"Cancelamento de Registro de Pessoa Jurídica";"E,";"N";"5098"
"39";"Certidão de Registro e Quitação";"N";"N";"N";"05 (cinco) dias úteis, quando por meio de atendimento presencial; e Imediato, quando por meio de atendimento on-line.";;"0";;;"N";"9"
"40";"Certidão Específica de Pessoa Jurídica";"S";"S";"N";"07 (sete) dias úteis";"N";"28";"Certidão Específica de Pessoa Jurídica";"E,";"N";"5098"
"41";"Cópia de Contrato de Trabalho";"S";;"N";NULL;;"0";;;"N";"5098"
"42";"Visto em Registro de Profissional";"S";"S";"N";"05 (cinco) dias úteis. ";"N";"807";"Registrar Profissional que já possui Registro em outro CREA";"P,L,";"N";"9"
"43";"Prorrogação de Carteira Provisória";"S";"S";"N";"05 dias úteis.";"S";"805";"Prorrogação de Carteira Provisória";"P,";"N";"9"
"44";"Interrupção de Registro de Profissional";"S";"S";"N";"05 (cinco) dias úteis.";"S";"801";"Interrupção de Registro Profissional";"P,";"N";"9"
"45";"Reativação de Registro de Profissional";"S";"S";"N";"05 (cinco) dias úteis.";"S";"803";"Reativação do Registro de Profissioal";"P,";"N";"9"
"46";"Cancelamento de Registro de Profissional por Óbito";"S";"S";"N";"03 (três) dias úteis";"S";"810";"Cancelamento de Registro de Profissional por Óbito";"L,";"N";"9"
"47";"Certidão Específica de Profissional";"S";"S";"N";"07 (sete) dias úteis";"S";"28";"Certidão Específica sobre o registro do Profissional";"P,";"S";"9"
"48";"Desconto em Anuidade de Profissional";"S";;"N";NULL;;"0";;;"N";"9"
"49";"Certidão Específica de Georreferenciamento";"S";"S";"N";"Para inserção da atribuição de Georreferenciamento na ficha do profissional, o prazo é de 05 (cinco) dias úteis, após o deferimento do processo, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar análise pelo Colegiado; e
Caso já possua atribuição de Georreferenciamento na ficha do profissional, o prazo é de 05 (cinco) dias úteis (atendimento presencial) e imediato (atendimento on line).";"S";"28";"Certidão Específica de Georreferenciamento";"P,";"S";"9"
"50";"Recadastramento de Instituição de Ensino e Cursos";"S";"S";"N";"Prazo; Variável.";;"0";;;"N";"9"
"51";"Diversos - Financeiro";"S";"S";"N";NULL;;"0";;;"N";"5015"
"52";"Termo de Confissão de Dívida - Financeiro";"S";"N";"N";"Imediato";;"27";;"P,E,L,";"N";"4"
"53";"Convênio de Repasse de ARTS";"S";;"N";NULL;;"0";;;"N";"5015"
"54";"Prestação de Contas de Convênios";"S";"S";"N";NULL;;"0";;;"N";"5015"
"55";"Suprimento de Fundos";"S";;"N";NULL;;"0";;;"N";"5015"
"56";"Diversos - Fiscalização";"S";"S";"N";NULL;;"0";;;"N";"2"
"57";"Relatório Matriz de Ocorrência";"S";"S";"N";NULL;"N";"0";;;"N";
"58";"Relatório de Ocorrência";"S";;"N";NULL;;"0";;;"N";
"61";"Diversos - Ouvidoria";"S";"S";"N";NULL;;"0";;;"N";"5003"
"62";"Inspeção Preventiva";"S";;"N";NULL;;"0";;;"N";"5003"
"63";"Relatório de Constatação";"S";"S";"N";NULL;;"0";;;"N";"5003"
"64";"Vistoria Cautelar";"N";"N";"N";NULL;;"0";;;"N";
"65";"Diversos - Administrativo";"S";"S";"N";NULL;;"0";;;"N";"14"
"66";"Carta Convite - Material de Expediente";"S";;"N";NULL;;"0";;;"N";"14"
"67";"Tomada de Preços";"S";"N";"N";NULL;"N";"0";;;"N";"14"
"68";"Leilão - Bens Inservíveis";"S";;"N";NULL;;"0";;;"N";"14"
"69";"Contratação Direta - Serviços";"S";;"N";NULL;;"0";;;"N";"14"
"70";"Contratação Direta - Aquisição";"S";"N";"N";NULL;"N";"0";;;"N";"14"
"71";"Contratação Direta - Manutenção";"S";;"N";NULL;;"0";;;"N";"14"
"72";"Contratação Direta - Diversos";"S";;"N";NULL;;"0";;;"N";"14"
"73";"Diversos - Tecnologia da Informação";"S";"S";"N";NULL;;"0";;;"N";"7"
"74";"Listagens/Etiquetas";"S";;"N";NULL;;"0";;;"N";"7"
